EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT,CaseRollNBR
2023-02-01,3,4,30183,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,4
2023-02-02,7,4.285714286,30190,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,4.28571428571429
2023-02-03,3,4.285714286,30193,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,4.28571428571429
2023-02-04,5,4.142857143,30198,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,4.14285714285714
2023-02-05,0,3.714285714,30198,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3.71428571428571
2023-02-06,1,3.428571429,30199,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3.42857142857143
2023-02-07,2,3,30201,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3
2023-02-08,5,3.285714286,30206,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3.28571428571429
2023-02-09,1,2.428571429,30207,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2023-02-10,3,2.428571429,30210,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2023-02-11,2,2,30212,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2
2023-02-12,3,2.428571429,30215,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2023-02-13,1,2.428571429,30216,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2023-02-14,1,2.285714286,30217,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.28571428571429
2023-02-15,3,2,30220,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2
2023-02-16,3,2.285714286,30223,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.28571428571429
2023-02-17,2,2.142857143,30225,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2023-02-18,3,2.285714286,30228,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.28571428571429
2023-02-19,2,2.142857143,30230,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2023-02-20,0,2,30230,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2
2023-02-21,0,1.857142857,30230,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.85714285714286
2023-02-22,1,1.571428571,30231,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.57142857142857
2023-02-23,2,1.428571429,30233,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.42857142857143
2023-02-24,2,1.428571429,30235,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.42857142857143
2023-02-25,1,1.142857143,30236,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.14285714285714
2023-02-26,2,1.142857143,30238,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.14285714285714
2023-02-27,3,1.571428571,30241,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.57142857142857
2023-02-28,1,1.714285714,30242,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.71428571428571
2023-03-01,4,2.142857143,30246,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2023-03-02,2,2.142857143,30248,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2023-03-03,0,1.857142857,30248,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.85714285714286
2023-03-04,3,2.142857143,30251,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2023-03-05,2,2.142857143,30253,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2023-03-06,0,1.714285714,30253,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.71428571428571
2023-03-07,0,1.571428571,30253,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.57142857142857
2023-03-08,1,1.142857143,30254,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.14285714285714
2023-03-09,0,0.857142857,30254,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,0.857142857142857
2023-03-10,1,1,30255,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1
2023-03-11,0,0.571428571,30255,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,0.571428571428571
2023-03-12,0,0.285714286,30255,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,0.285714285714286
2023-03-13,3,0.714285714,30258,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,0.714285714285714
2023-03-14,0,0.714285714,30258,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,0.714285714285714
2023-03-15,1,0.714285714,30259,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,0.714285714285714
