EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-17,1,0,1,Data as of 09/14/2022,2022-09-20
2022-05-18,0,0,1,Data as of 09/14/2022,2022-09-20
2022-05-19,1,0,2,Data as of 09/14/2022,2022-09-20
2022-05-20,4,0,6,Data as of 09/14/2022,2022-09-20
2022-05-21,0,0,6,Data as of 09/14/2022,2022-09-20
2022-05-22,1,0,7,Data as of 09/14/2022,2022-09-20
2022-05-23,3,1.428571429,10,Data as of 09/14/2022,2022-09-20
2022-05-24,1,1.428571429,11,Data as of 09/14/2022,2022-09-20
2022-05-25,2,1.714285714,13,Data as of 09/14/2022,2022-09-20
2022-05-26,2,1.857142857,15,Data as of 09/14/2022,2022-09-20
2022-05-27,4,1.857142857,19,Data as of 09/14/2022,2022-09-20
2022-05-28,0,1.857142857,19,Data as of 09/14/2022,2022-09-20
2022-05-29,3,2.142857143,22,Data as of 09/14/2022,2022-09-20
2022-05-30,3,2.142857143,25,Data as of 09/14/2022,2022-09-20
2022-05-31,6,2.857142857,31,Data as of 09/14/2022,2022-09-20
2022-06-01,5,3.285714286,36,Data as of 09/14/2022,2022-09-20
2022-06-02,9,4.285714286,45,Data as of 09/14/2022,2022-09-20
2022-06-03,6,4.571428571,51,Data as of 09/14/2022,2022-09-20
2022-06-04,1,4.714285714,52,Data as of 09/14/2022,2022-09-20
2022-06-05,3,4.714285714,55,Data as of 09/14/2022,2022-09-20
2022-06-06,12,6,67,Data as of 09/14/2022,2022-09-20
2022-06-07,7,6.142857143,74,Data as of 09/14/2022,2022-09-20
2022-06-08,8,6.571428571,82,Data as of 09/14/2022,2022-09-20
2022-06-09,4,5.857142857,86,Data as of 09/14/2022,2022-09-20
2022-06-10,13,6.857142857,99,Data as of 09/14/2022,2022-09-20
2022-06-11,12,8.428571429,111,Data as of 09/14/2022,2022-09-20
2022-06-12,9,9.285714286,120,Data as of 09/14/2022,2022-09-20
2022-06-13,13,9.428571429,133,Data as of 09/14/2022,2022-09-20
2022-06-14,19,11.14285714,152,Data as of 09/14/2022,2022-09-20
2022-06-15,18,12.57142857,170,Data as of 09/14/2022,2022-09-20
2022-06-16,15,14.14285714,185,Data as of 09/14/2022,2022-09-20
