EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-11,5,0,6,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-12,0,0,6,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-13,0,0,6,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-14,0,0,6,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-15,2,0,8,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-16,7,2.142857143,15,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-17,3,2.428571429,18,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-18,2,2,20,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-19,3,2.428571429,23,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-20,0,2.428571429,23,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-21,1,2.571428571,24,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-22,1,2.428571429,25,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-23,3,1.857142857,28,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-24,4,2,32,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-25,2,2,34,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-26,2,1.857142857,36,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-27,4,2.428571429,40,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-28,0,2.285714286,40,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-29,6,3,46,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-30,8,3.714285714,54,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-05-31,5,3.857142857,59,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-01,9,4.857142857,68,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-02,13,6.428571429,81,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-03,7,6.857142857,88,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-04,5,7.571428571,93,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-05,6,7.571428571,99,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-06,20,9.285714286,119,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-07,19,11.28571429,138,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-08,12,11.71428571,150,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-09,6,10.71428571,156,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-10,24,13.14285714,180,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-11,11,14,191,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-12,27,17,218,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-13,25,17.71428571,243,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-14,26,18.71428571,269,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-15,33,21.71428571,302,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-16,26,24.57142857,328,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-17,33,25.85714286,361,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-18,27,28.14285714,388,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-19,36,29.42857143,424,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-20,42,31.85714286,466,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-21,43,34.28571429,509,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-22,62,38.42857143,571,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-23,57,42.85714286,628,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-24,50,45.28571429,678,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-25,55,49.28571429,733,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-26,66,53.57142857,799,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-27,95,61.14285714,894,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-28,90,67.85714286,984,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-29,78,70.14285714,1062,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-06-30,115,78.42857143,1177,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-07-01,138,91,1315,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-07-02,127,101.2857143,1442,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
2022-07-03,132,110.7142857,1574,Data as Reported to CDC as of 12 Apr 2023 2:00 PM EDT,2023-04-20
