EpidateDT,CaseCNT,ReportDT
2022-05-17,1,2022-08-02
2022-05-18,0,2022-08-02
2022-05-19,0,2022-08-02
2022-05-20,1,2022-08-02
2022-05-21,2,2022-08-02
2022-05-22,0,2022-08-02
2022-05-23,2,2022-08-02
2022-05-24,2,2022-08-02
2022-05-25,2,2022-08-02
2022-05-26,2,2022-08-02
2022-05-27,1,2022-08-02
2022-05-28,0,2022-08-02
2022-05-29,2,2022-08-02
2022-05-30,0,2022-08-02
2022-05-31,3,2022-08-02
2022-06-01,1,2022-08-02
2022-06-02,3,2022-08-02
2022-06-03,4,2022-08-02
2022-06-04,1,2022-08-02
2022-06-05,0,2022-08-02
2022-06-06,6,2022-08-02
2022-06-07,2,2022-08-02
2022-06-08,5,2022-08-02
2022-06-09,2,2022-08-02
2022-06-10,4,2022-08-02
2022-06-11,4,2022-08-02
2022-06-12,2,2022-08-02
2022-06-13,2,2022-08-02
2022-06-14,11,2022-08-02
2022-06-15,7,2022-08-02
2022-06-16,13,2022-08-02
2022-06-17,4,2022-08-02
2022-06-18,11,2022-08-02
2022-06-19,5,2022-08-02
2022-06-20,7,2022-08-02
2022-06-21,15,2022-08-02
2022-06-22,19,2022-08-02
2022-06-23,19,2022-08-02
2022-06-24,35,2022-08-02
2022-06-25,12,2022-08-02
2022-06-26,12,2022-08-02
2022-06-27,53,2022-08-02
2022-06-28,30,2022-08-02
2022-06-29,42,2022-08-02
2022-06-30,57,2022-08-02
2022-07-01,52,2022-08-02
2022-07-02,16,2022-08-02
2022-07-03,11,2022-08-02
2022-07-04,7,2022-08-02
2022-07-05,37,2022-08-02
2022-07-06,45,2022-08-02
2022-07-07,52,2022-08-02
2022-07-08,37,2022-08-02
2022-07-09,37,2022-08-02
2022-07-10,7,2022-08-02
2022-07-11,100,2022-08-02
2022-07-12,212,2022-08-02
2022-07-13,140,2022-08-02
2022-07-14,216,2022-08-02
2022-07-15,159,2022-08-02
2022-07-16,7,2022-08-02
2022-07-17,1,2022-08-02
2022-07-18,195,2022-08-02
2022-07-19,301,2022-08-02
2022-07-20,256,2022-08-02
2022-07-21,184,2022-08-02
2022-07-22,308,2022-08-02
2022-07-23,9,2022-08-02
2022-07-24,2,2022-08-02
2022-07-25,439,2022-08-02
