EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-11,5,0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-12,0,0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-13,0,0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-14,0,0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-15,2,0,8,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-16,7,2.142857075,15,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-17,3,2.428571463,18,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-18,2,2,20,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-19,3,2.428571463,23,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-20,0,2.428571463,23,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-21,1,2.571428537,24,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-22,1,2.428571463,25,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-23,3,1.857142806,28,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-24,4,2,32,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-25,2,2,34,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
2022-05-26,2,1.857142806,36,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2023-05-06
