EpidateDT,CaseCNT,UpdateDT,ReportDT
2022-05-17,1,Data as of 8/31/2022,2022-09-04
2022-05-18,0,Data as of 8/31/2022,2022-09-04
2022-05-19,2,Data as of 8/31/2022,2022-09-04
2022-05-20,3,Data as of 8/31/2022,2022-09-04
2022-05-21,0,Data as of 8/31/2022,2022-09-04
2022-05-22,1,Data as of 8/31/2022,2022-09-04
2022-05-23,3,Data as of 8/31/2022,2022-09-04
2022-05-24,1,Data as of 8/31/2022,2022-09-04
2022-05-25,2,Data as of 8/31/2022,2022-09-04
2022-05-26,2,Data as of 8/31/2022,2022-09-04
2022-05-27,4,Data as of 8/31/2022,2022-09-04
2022-05-28,0,Data as of 8/31/2022,2022-09-04
2022-05-29,3,Data as of 8/31/2022,2022-09-04
2022-05-30,3,Data as of 8/31/2022,2022-09-04
2022-05-31,6,Data as of 8/31/2022,2022-09-04
2022-06-01,6,Data as of 8/31/2022,2022-09-04
2022-06-02,8,Data as of 8/31/2022,2022-09-04
2022-06-03,6,Data as of 8/31/2022,2022-09-04
2022-06-04,1,Data as of 8/31/2022,2022-09-04
2022-06-05,3,Data as of 8/31/2022,2022-09-04
2022-06-06,14,Data as of 8/31/2022,2022-09-04
2022-06-07,7,Data as of 8/31/2022,2022-09-04
2022-06-08,7,Data as of 8/31/2022,2022-09-04
2022-06-09,5,Data as of 8/31/2022,2022-09-04
2022-06-10,13,Data as of 8/31/2022,2022-09-04
2022-06-11,12,Data as of 8/31/2022,2022-09-04
2022-06-12,9,Data as of 8/31/2022,2022-09-04
2022-06-13,15,Data as of 8/31/2022,2022-09-04
2022-06-14,22,Data as of 8/31/2022,2022-09-04
2022-06-15,16,Data as of 8/31/2022,2022-09-04
2022-06-16,15,Data as of 8/31/2022,2022-09-04
2022-06-17,19,Data as of 8/31/2022,2022-09-04
2022-06-18,19,Data as of 8/31/2022,2022-09-04
2022-06-19,14,Data as of 8/31/2022,2022-09-04
2022-06-20,14,Data as of 8/31/2022,2022-09-04
2022-06-21,18,Data as of 8/31/2022,2022-09-04
2022-06-22,25,Data as of 8/31/2022,2022-09-04
2022-06-23,34,Data as of 8/31/2022,2022-09-04
2022-06-24,31,Data as of 8/31/2022,2022-09-04
2022-06-25,31,Data as of 8/31/2022,2022-09-04
2022-06-26,24,Data as of 8/31/2022,2022-09-04
2022-06-27,63,Data as of 8/31/2022,2022-09-04
2022-06-28,57,Data as of 8/31/2022,2022-09-04
2022-06-29,68,Data as of 8/31/2022,2022-09-04
2022-06-30,74,Data as of 8/31/2022,2022-09-04
2022-07-01,61,Data as of 8/31/2022,2022-09-04
2022-07-02,50,Data as of 8/31/2022,2022-09-04
2022-07-03,50,Data as of 8/31/2022,2022-09-04
2022-07-04,46,Data as of 8/31/2022,2022-09-04
2022-07-05,114,Data as of 8/31/2022,2022-09-04
2022-07-06,90,Data as of 8/31/2022,2022-09-04
2022-07-07,107,Data as of 8/31/2022,2022-09-04
2022-07-08,141,Data as of 8/31/2022,2022-09-04
2022-07-09,72,Data as of 8/31/2022,2022-09-04
2022-07-10,52,Data as of 8/31/2022,2022-09-04
2022-07-11,200,Data as of 8/31/2022,2022-09-04
2022-07-12,166,Data as of 8/31/2022,2022-09-04
2022-07-13,200,Data as of 8/31/2022,2022-09-04
2022-07-14,223,Data as of 8/31/2022,2022-09-04
2022-07-15,220,Data as of 8/31/2022,2022-09-04
2022-07-16,116,Data as of 8/31/2022,2022-09-04
2022-07-17,79,Data as of 8/31/2022,2022-09-04
2022-07-18,319,Data as of 8/31/2022,2022-09-04
2022-07-19,286,Data as of 8/31/2022,2022-09-04
2022-07-20,289,Data as of 8/31/2022,2022-09-04
2022-07-21,259,Data as of 8/31/2022,2022-09-04
2022-07-22,331,Data as of 8/31/2022,2022-09-04
2022-07-23,141,Data as of 8/31/2022,2022-09-04
2022-07-24,97,Data as of 8/31/2022,2022-09-04
2022-07-25,528,Data as of 8/31/2022,2022-09-04
2022-07-26,386,Data as of 8/31/2022,2022-09-04
2022-07-27,480,Data as of 8/31/2022,2022-09-04
2022-07-28,331,Data as of 8/31/2022,2022-09-04
2022-07-29,385,Data as of 8/31/2022,2022-09-04
2022-07-30,205,Data as of 8/31/2022,2022-09-04
2022-07-31,145,Data as of 8/31/2022,2022-09-04
2022-08-01,639,Data as of 8/31/2022,2022-09-04
2022-08-02,429,Data as of 8/31/2022,2022-09-04
2022-08-03,493,Data as of 8/31/2022,2022-09-04
2022-08-04,527,Data as of 8/31/2022,2022-09-04
2022-08-05,423,Data as of 8/31/2022,2022-09-04
2022-08-06,159,Data as of 8/31/2022,2022-09-04
2022-08-07,140,Data as of 8/31/2022,2022-09-04
2022-08-08,826,Data as of 8/31/2022,2022-09-04
2022-08-09,527,Data as of 8/31/2022,2022-09-04
2022-08-10,656,Data as of 8/31/2022,2022-09-04
2022-08-11,402,Data as of 8/31/2022,2022-09-04
2022-08-12,403,Data as of 8/31/2022,2022-09-04
2022-08-13,185,Data as of 8/31/2022,2022-09-04
2022-08-14,118,Data as of 8/31/2022,2022-09-04
2022-08-15,771,Data as of 8/31/2022,2022-09-04
2022-08-16,359,Data as of 8/31/2022,2022-09-04
2022-08-17,458,Data as of 8/31/2022,2022-09-04
2022-08-18,341,Data as of 8/31/2022,2022-09-04
2022-08-19,391,Data as of 8/31/2022,2022-09-04
2022-08-20,115,Data as of 8/31/2022,2022-09-04
2022-08-21,62,Data as of 8/31/2022,2022-09-04
2022-08-22,870,Data as of 8/31/2022,2022-09-04
2022-08-23,624,Data as of 8/31/2022,2022-09-04
2022-08-24,295,Data as of 8/31/2022,2022-09-04
2022-08-25,407,Data as of 8/31/2022,2022-09-04
2022-08-26,274,Data as of 8/31/2022,2022-09-04
2022-08-27,45,Data as of 8/31/2022,2022-09-04
2022-08-28,22,Data as of 8/31/2022,2022-09-04
2022-08-29,657,Data as of 8/31/2022,2022-09-04
2022-08-30,416,Data as of 8/31/2022,2022-09-04
