EpidateDT,CaseCNT,UpdateDT,ReportDT
2022-05-17,1,Data as of 9/7/2022,2022-09-11
2022-05-18,0,Data as of 9/7/2022,2022-09-11
2022-05-19,1,Data as of 9/7/2022,2022-09-11
2022-05-20,4,Data as of 9/7/2022,2022-09-11
2022-05-21,0,Data as of 9/7/2022,2022-09-11
2022-05-22,1,Data as of 9/7/2022,2022-09-11
2022-05-23,3,Data as of 9/7/2022,2022-09-11
2022-05-24,1,Data as of 9/7/2022,2022-09-11
2022-05-25,3,Data as of 9/7/2022,2022-09-11
2022-05-26,2,Data as of 9/7/2022,2022-09-11
2022-05-27,3,Data as of 9/7/2022,2022-09-11
2022-05-28,1,Data as of 9/7/2022,2022-09-11
2022-05-29,3,Data as of 9/7/2022,2022-09-11
2022-05-30,3,Data as of 9/7/2022,2022-09-11
2022-05-31,5,Data as of 9/7/2022,2022-09-11
2022-06-01,6,Data as of 9/7/2022,2022-09-11
2022-06-02,10,Data as of 9/7/2022,2022-09-11
2022-06-03,4,Data as of 9/7/2022,2022-09-11
2022-06-04,1,Data as of 9/7/2022,2022-09-11
2022-06-05,3,Data as of 9/7/2022,2022-09-11
2022-06-06,15,Data as of 9/7/2022,2022-09-11
2022-06-07,7,Data as of 9/7/2022,2022-09-11
2022-06-08,7,Data as of 9/7/2022,2022-09-11
2022-06-09,6,Data as of 9/7/2022,2022-09-11
2022-06-10,14,Data as of 9/7/2022,2022-09-11
2022-06-11,12,Data as of 9/7/2022,2022-09-11
2022-06-12,9,Data as of 9/7/2022,2022-09-11
2022-06-13,9,Data as of 9/7/2022,2022-09-11
2022-06-14,24,Data as of 9/7/2022,2022-09-11
2022-06-15,14,Data as of 9/7/2022,2022-09-11
2022-06-16,18,Data as of 9/7/2022,2022-09-11
2022-06-17,19,Data as of 9/7/2022,2022-09-11
2022-06-18,17,Data as of 9/7/2022,2022-09-11
2022-06-19,14,Data as of 9/7/2022,2022-09-11
2022-06-20,16,Data as of 9/7/2022,2022-09-11
2022-06-21,17,Data as of 9/7/2022,2022-09-11
2022-06-22,26,Data as of 9/7/2022,2022-09-11
2022-06-23,33,Data as of 9/7/2022,2022-09-11
2022-06-24,35,Data as of 9/7/2022,2022-09-11
2022-06-25,32,Data as of 9/7/2022,2022-09-11
2022-06-26,23,Data as of 9/7/2022,2022-09-11
2022-06-27,67,Data as of 9/7/2022,2022-09-11
2022-06-28,56,Data as of 9/7/2022,2022-09-11
2022-06-29,64,Data as of 9/7/2022,2022-09-11
2022-06-30,71,Data as of 9/7/2022,2022-09-11
2022-07-01,63,Data as of 9/7/2022,2022-09-11
2022-07-02,48,Data as of 9/7/2022,2022-09-11
2022-07-03,48,Data as of 9/7/2022,2022-09-11
2022-07-04,46,Data as of 9/7/2022,2022-09-11
2022-07-05,108,Data as of 9/7/2022,2022-09-11
2022-07-06,95,Data as of 9/7/2022,2022-09-11
2022-07-07,112,Data as of 9/7/2022,2022-09-11
2022-07-08,127,Data as of 9/7/2022,2022-09-11
2022-07-09,77,Data as of 9/7/2022,2022-09-11
2022-07-10,60,Data as of 9/7/2022,2022-09-11
2022-07-11,209,Data as of 9/7/2022,2022-09-11
2022-07-12,158,Data as of 9/7/2022,2022-09-11
2022-07-13,191,Data as of 9/7/2022,2022-09-11
2022-07-14,193,Data as of 9/7/2022,2022-09-11
2022-07-15,224,Data as of 9/7/2022,2022-09-11
2022-07-16,110,Data as of 9/7/2022,2022-09-11
2022-07-17,77,Data as of 9/7/2022,2022-09-11
2022-07-18,313,Data as of 9/7/2022,2022-09-11
2022-07-19,291,Data as of 9/7/2022,2022-09-11
2022-07-20,290,Data as of 9/7/2022,2022-09-11
2022-07-21,259,Data as of 9/7/2022,2022-09-11
2022-07-22,328,Data as of 9/7/2022,2022-09-11
2022-07-23,154,Data as of 9/7/2022,2022-09-11
2022-07-24,108,Data as of 9/7/2022,2022-09-11
2022-07-25,539,Data as of 9/7/2022,2022-09-11
2022-07-26,381,Data as of 9/7/2022,2022-09-11
2022-07-27,477,Data as of 9/7/2022,2022-09-11
2022-07-28,349,Data as of 9/7/2022,2022-09-11
2022-07-29,398,Data as of 9/7/2022,2022-09-11
2022-07-30,191,Data as of 9/7/2022,2022-09-11
2022-07-31,143,Data as of 9/7/2022,2022-09-11
2022-08-01,645,Data as of 9/7/2022,2022-09-11
2022-08-02,442,Data as of 9/7/2022,2022-09-11
2022-08-03,529,Data as of 9/7/2022,2022-09-11
2022-08-04,526,Data as of 9/7/2022,2022-09-11
2022-08-05,437,Data as of 9/7/2022,2022-09-11
2022-08-06,167,Data as of 9/7/2022,2022-09-11
2022-08-07,147,Data as of 9/7/2022,2022-09-11
2022-08-08,806,Data as of 9/7/2022,2022-09-11
2022-08-09,508,Data as of 9/7/2022,2022-09-11
2022-08-10,655,Data as of 9/7/2022,2022-09-11
2022-08-11,412,Data as of 9/7/2022,2022-09-11
2022-08-12,413,Data as of 9/7/2022,2022-09-11
2022-08-13,183,Data as of 9/7/2022,2022-09-11
2022-08-14,131,Data as of 9/7/2022,2022-09-11
2022-08-15,785,Data as of 9/7/2022,2022-09-11
2022-08-16,368,Data as of 9/7/2022,2022-09-11
2022-08-17,473,Data as of 9/7/2022,2022-09-11
2022-08-18,379,Data as of 9/7/2022,2022-09-11
2022-08-19,423,Data as of 9/7/2022,2022-09-11
2022-08-20,157,Data as of 9/7/2022,2022-09-11
2022-08-21,99,Data as of 9/7/2022,2022-09-11
2022-08-22,896,Data as of 9/7/2022,2022-09-11
2022-08-23,640,Data as of 9/7/2022,2022-09-11
2022-08-24,335,Data as of 9/7/2022,2022-09-11
2022-08-25,450,Data as of 9/7/2022,2022-09-11
2022-08-26,327,Data as of 9/7/2022,2022-09-11
2022-08-27,80,Data as of 9/7/2022,2022-09-11
2022-08-28,44,Data as of 9/7/2022,2022-09-11
2022-08-29,533,Data as of 9/7/2022,2022-09-11
2022-08-30,439,Data as of 9/7/2022,2022-09-11
2022-08-31,266,Data as of 9/7/2022,2022-09-11
2022-09-01,446,Data as of 9/7/2022,2022-09-11
2022-09-02,369,Data as of 9/7/2022,2022-09-11
2022-09-03,45,Data as of 9/7/2022,2022-09-11
2022-09-04,20,Data as of 9/7/2022,2022-09-11
2022-09-05,25,Data as of 9/7/2022,2022-09-11
2022-09-06,677,Data as of 9/7/2022,2022-09-11
2022-09-07,117,Data as of 9/7/2022,2022-09-11
